No,Pertanyaan,Jawaban
2070,Dari Sudirman ke Senayan gimana?,Jalan kaki 20 menit atau naik ojek online bro!
2071,Apakah ada tempat nongkrong di stasiun Sudirman?,"Ada kafe kecil bro, tapi terbatas!"
2072,Sudirman ke Bundaran HI naik apa?,"Jalan kaki atau MRT bro, deket!"
2073,Stasiun Sudirman ada coworking space?,"Gak ada bro, ini stasiun transit biasa!"
2074,KRL dari Bekasi pagi-pagi penuh gak?,"Penuh banget bro, apalagi jam 06:00-08:00!"
2075,Stasiun Bekasi ada tempat makan 24 jam?,"Ada warung yang buka pagi-pagi bro, di sekitar stasiun!"
2076,Parkir Bekasi cukup untuk motor?,"Lumayan luas bro, tapi weekend bisa penuh!"
2077,Dari Bekasi ke Jakarta berapa kali berhenti?,"Tergantung rute bro, sekitar 10-15 stasiun!"
2078,Apakah Bekasi punya akses toll?,"Deket bro, tapi harus keluar stasiun dulu!"
2079,Stasiun Bekasi ada ATM?,"Ada bro, beberapa ATM bank besar!"
2080,Apakah Bekasi terhubung LRT?,"Belum langsung bro, tapi lagi ada rencana!"
2081,Mall terdekat dari stasiun Bekasi?,"Metropolitan Mall atau Summarecon bro, naik ojek!"
2082,Dari Bekasi ke Cikarang naik KRL berapa lama?,"Sekitar 30-40 menit bro, beberapa stasiun!"
2083,Stasiun Bekasi ada charging station?,"Ada beberapa colokan bro, tapi sering penuh!"
2084,Depok ke UI naik KRL berapa lama?,"Cuma 5-10 menit bro, cuma 2 stasiun!"
2085,Stasiun Depok ada parkir sepeda?,"Ada bro, cukup aman dan murah!"
2086,Dari Depok ke Margonda naik apa?,"Angkot atau ojek online bro, deket kok!"
2087,Stasiun Depok ramai saat kuliah mulai?,"Ramai banget bro, banyak mahasiswa!"
2088,Apakah Depok Baru dan Depok itu beda?,"Beda bro, Depok Baru lebih dulu dari arah Bogor!"
2089,Stasiun UI ramai jam berapa?,"Pagi dan sore bro, jam kuliah masuk-pulang!"
2090,Dari UI ke Salemba naik KRL bisa?,"Bisa bro, turun di Cawang atau Manggarai terus lanjut!"
2091,Parkir motor di UI stasiun aman?,"Aman bro, ada petugas jaga!"
2092,Apakah UI stasiun ada minimarket?,"Ada bro, kecil tapi lengkap!"
2093,Dari stasiun Depok ke D'Mall jauh?,"Lumayan jauh bro, mending naik ojek online!"
2094,Cikarang sebagai stasiun terjauh dari Jakarta?,"Salah satu yang terjauh bro, ujung timur!"
2095,KRL Cikarang berangkat dari mana pagi-pagi?,"Dari Cikarang sendiri bro, trip pertama sekitar 04:30!"
2096,Apakah Cikarang ramai pekerja pabrik?,"Iya bro, banyak pekerja industri pakai KRL!"
2097,Dari Cikarang ke Jakarta berapa jam?,"Sekitar 1,5-2 jam bro, tergantung pemberhentian!"
2098,Stasiun Cikarang ada fasilitas lengkap?,"Cukup lengkap bro, toilet, mushola, parkir ada!"
2099,Apakah Cikarang ada hotel dekat stasiun?,"Ada beberapa bro, buat pekerja yang lembur!"
2100,Dari Cikarang ke Bekasi lebih cepat naik apa?,"KRL paling praktis bro, atau bus kalau mau cepat!"
2101,Stasiun Cikarang buka 24 jam?,"Iya bro, tapi KRL cuma sampai 23:30!"
2102,Apakah Cikarang akan diperpanjang rutenya?,"Ada wacana ke Karawang bro, tapi belum pasti!"
2103,Parkir mobil di Cikarang berapa?,"Rp10.000-Rp15.000 bro, lumayan murah!"
2104,Serpong ke BSD naik apa dari stasiun?,"Angkot atau ojek online bro, sekitar 15 menit!"
2105,Stasiun Serpong ada mall dekat?,"Ada ITC BSD dan Living World bro, agak jauh tapi!"
2106,Dari Serpong ke Alam Sutera gimana?,Ojek online atau bus feeder bro!
2107,Apakah Serpong termasuk Tangsel?,"Iya bro, bagian dari Tangerang Selatan!"
2108,KRL Serpong beroperasi sampai jam berapa?,"Sampai sekitar 23:00 bro, cek jadwal pasti!"
2109,Stasiun Serpong punya parkir luas?,"Lumayan luas bro, cukup untuk motor dan mobil!"
2110,Apakah Serpong ada akses ke Gading Serpong?,"Agak jauh bro, harus naik ojek atau mobil!"
2111,Dari Serpong ke Bintaro naik apa?,Naik KRL balik arah atau angkot bro!
2112,Stasiun Serpong ramai weekend?,"Lumayan ramai bro, banyak yang belanja atau wisata!"
2113,Apakah ada rencana LRT di Serpong?,"Ada wacana bro, tapi masih planning!"
2114,KRL pagi hari lebih cepat atau siang?,"Sama aja bro, kecepatannya standard. Cuma jam sibuk lebih padat!"
2115,Berapa kecepatan maksimal KRL?,"Sekitar 80-100 km/jam bro, tergantung jalur!"
2116,Apakah KRL bisa ngebut kayak shinkansen?,"Gak bisa bro, beda teknologi dan infrastruktur!"
2117,KRL berhenti berapa lama di setiap stasiun?,"Sekitar 30-60 detik bro, cukup untuk naik-turun!"
2118,Kenapa KRL kadang berhenti lama di stasiun kecil?,"Menunggu jadwal atau KRL lain lewat bro, koordinasi jalur!"
2119,Apakah ada KRL ekspres yang skip stasiun?,"Belum ada bro, semua KRL berhenti di semua stasiun rute!"
2120,Jarak antar stasiun KRL rata-rata berapa?,"Sekitar 2-4 km bro, tergantung area!"
2121,Stasiun mana yang paling deket jaraknya?,"Gondangdia-Cikini atau Juanda-Sawah Besar bro, cuma 1-2 km!"
2122,Apakah KRL pakai rel khusus?,"Iya bro, ada jalur khusus KRL terpisah dari kereta lain!"
2123,KRL bisa mundur gak?,"Bisa bro, kalau di depo atau situasi darurat!"
2124,Apakah bisa tidur di KRL malam-malam?,"KRL terakhir jam 23:30 bro, abis itu harus turun. Gak bisa nginep!"
2125,Kalau ketiduran sampai ujung gimana?,"Harus balik lagi bro, bayar lagi. Pasang alarm!"
2126,Apakah ada selimut di KRL buat yang kedinginan?,"Gak ada bro, bawa jaket sendiri kalau AC terlalu dingin!"
2127,Boleh makan mie instan di KRL?,"Boleh bro, tapi gak recommended. Bau dan bisa tumpah!"
2128,Apakah ada yang jualan makanan di KRL?,"Dilarang bro, tapi kadang masih ada. Lapor kalau ganggu!"
2129,Kalau mual di KRL gimana?,Minta tolong petugas atau penumpang lain bro. Ada kantong darurat gak?
2130,Apakah ada kotak P3K di KRL?,"Ada bro, di kabin masinis. Minta tolong petugas!"
2131,Kalau ada yang pingsan di KRL?,Segera panggil petugas lewat tombol darurat bro!
2132,Apakah ada dokter on call untuk KRL?,"Gak ada bro, tapi petugas terlatih first aid!"
2133,Tempat duduk KRL empuk gak?,"Standar aja bro, keras tapi ada bantalan tipis!"
2134,Apakah KRL masuk dalam aplikasi Google Maps?,"Iya bro, bisa lihat rute dan jadwal KRL di Google Maps!"
2135,Aplikasi mana yang paling akurat untuk jadwal KRL?,"KAI Access official bro, real-time dan akurat!"
2136,Apakah bisa cek posisi KRL secara live?,"Bisa di app KAI Access bro, ada tracking real-time!"
2137,Kenapa jadwal di app kadang beda sama kenyataan?,"Karena gangguan atau perubahan mendadak bro, sistem update!"
2138,Apakah ada notifikasi delay KRL?,"Ada di app KAI Access bro, aktifkan notifikasi!"
2139,Bisa booking tempat duduk di KRL gak?,"Gak bisa bro, sistem first come first served!"
2140,Apakah ada app pihak ketiga untuk tracking KRL?,"Ada beberapa bro, tapi KAI Access paling reliable!"
2141,Cara komplain lewat app KAI gimana?,Ada menu feedback atau customer care di app bro!
2142,Apakah bisa bayar denda lewat app?,"Gak bisa bro, denda bayar langsung di loket!"
2143,App KAI Access makan kuota banyak gak?,"Gak banyak bro, ringan kok. Kecuali download map!"
2144,Stasiun Cikini dekat kemana?,Deket ke Taman Ismail Marzuki dan Menteng bro!
2145,Dari Cikini ke Sarinah naik apa?,"Jalan kaki atau ojek online bro, sekitar 15 menit!"
2146,Apakah Cikini ada parkir?,"Ada bro, tapi terbatas. Datang pagi!"
2147,Stasiun Gondangdia masih aktif?,"Aktif bro, antara Cikini dan Juanda!"
2148,Dari Gondangdia ke Gambir jauh gak?,"Deket bro, jalan kaki 10 menitan!"
2149,Stasiun Juanda deket Monas?,"Lumayan deket bro, jalan kaki 15-20 menit!"
2150,Apakah Juanda ada akses ke gedung pemerintahan?,Deket ke berbagai kantor pemerintah bro!
2151,Stasiun Sawah Besar ramai gak?,"Lumayan ramai bro, terutama jam kerja!"
2152,Dari Sawah Besar ke Glodok naik apa?,"Jalan kaki atau ojek bro, deket!"
2153,Stasiun Mangga Besar ada di rute mana?,Loop line atau rute ke Jakarta Kota bro!
2154,Dari Mangga Besar ke ITC Mangga Dua jauh?,Jalan kaki 15 menit atau naik ojek bro!
2155,Stasiun Jayakarta masih beroperasi?,"Aktif bro, sebelum Jakarta Kota!"
2156,Apakah Jakarta Kota sebagai terminal KRL?,"Iya bro, salah satu ujung untuk beberapa rute!"
2157,Dari Jakarta Kota ke Kota Tua jalan kaki?,"Iya bro, cuma 5-10 menit jalan kaki!"
2158,Stasiun Jakarta Kota ada museum?,"Stasiun lawas nya bersejarah bro, sering foto-foto!"
2159,Apakah Jakarta Kota terhubung ke pelabuhan?,"Lumayan jauh ke Tanjung Priok bro, naik KRL rute lain!"
2160,Dari Jakarta Kota ke Ancol naik apa?,"Ojek atau bus bro, lumayan jauh!"
2161,Stasiun Jakarta Kota ada tempat parkir motor?,"Ada bro, cukup luas!"
2162,Apakah Jakarta Kota ramai turis?,"Iya bro, banyak turis ke Kota Tua dari sini!"
2163,Dari Jakarta Kota naik kereta ke Bandung?,"Harus ke Gambir dulu bro, atau beli tiket kereta jarak jauh!"
2164,Kampung Bandan di daerah mana?,"Jakarta Utara bro, dekat kawasan industri!"
2165,Dari Kampung Bandan ke Ancol gimana?,"Ojek online atau bus bro, sekitar 15-20 menit!"
2166,Stasiun Kampung Bandan ada minimarket?,"Ada warung kecil bro, belum ada minimarket besar!"
2167,Apakah Kampung Bandan termasuk stasiun kecil?,"Lumayan kecil bro, tapi ramai pekerja!"
2168,Dari Kampung Bandan ke Senen berapa lama?,"Sekitar 20-25 menit bro, lewat loop line!"
2169,Stasiun Ancol ada gak?,"Gak ada bro, Ancol harus naik dari stasiun lain!"
2170,Rute loop line lewat Kampung Bandan?,"Iya bro, bagian dari lingkar Jakarta!"
2171,Stasiun Rajawali ramai gak?,"Lumayan ramai bro, kawasan padat penduduk!"
2172,Dari Rajawali ke Pasar Baru naik apa?,Ojek atau jalan kaki lumayan jauh bro!
2173,Apakah Rajawali ada akses ke LRT?,"Belum ada bro, mungkin di masa depan!"
2174,Kemayoran dari stasiun jalan kaki kemana?,Ke kawasan Kemayoran atau JIExpo bro!
2175,Stasiun Kemayoran baru atau lama?,"Udah lama bro, tapi terawat!"
2176,Dari Kemayoran ke PRJ gimana?,"Jalan kaki atau ojek bro, deket banget!"
2177,Apakah Kemayoran ada hotel dekat?,Ada beberapa hotel budget bro!
2178,Stasiun Gang Sentiong masih ada?,"Udah gak aktif bro, stasion tua!"
2179,Pasar Senen dari stasiun jauh?,"Nyambung langsung bro, ada terowongan!"
2180,Stasiun Pasar Senen ramai banget?,"Ramai bro, hub transit dan dekat pasar!"
2181,Dari Pasar Senen ke Atrium Senen?,"Jalan kaki bro, deket banget!"
2182,Apakah Senen punya akses ke terminal bus?,"Deket bro, terminal Senen cuma beberapa menit!"
2183,Stasiun Pasar Senen ada parkir?,"Ada bro, tapi sering penuh!"
2184,Kramat dari stasiun kemana?,Ke daerah Kramat atau Senen bro!
2185,Stasiun Kramat ada fasilitas lengkap?,"Standar bro, toilet dan mushola ada!"
2186,Kereta apa yang paling cepat Jakarta-Surabaya?,"Argo Bromo Anggrek bro, sekitar 8-9 jam perjalanan. Eksekutif dan nyaman!"
2187,Harga tiket kereta eksekutif Jakarta-Yogyakarta berapa?,"Sekitar Rp350.000-Rp500.000 bro, tergantung kereta dan waktu. Cek Traveloka atau KAI Access!"
2188,Kereta Argo Lawu berangkat dari stasiun mana?,"Dari Gambir Jakarta ke Solo/Surakarta bro, kereta eksekutif premium!"
2189,Berapa lama perjalanan Jakarta-Semarang naik kereta?,"Sekitar 5-6 jam bro, tergantung jenis kereta yang dipilih!"
2190,Apakah ada kereta malam Jakarta-Surabaya?,"Ada bro, seperti Bima atau Bengawan. Berangkat sore/malam sampai pagi!"
2191,Kereta Taksaka rute kemana?,"Jakarta-Yogyakarta bro, kereta eksekutif populer. Sekitar 7-8 jam!"
2192,Harga tiket kereta ekonomi Jakarta-Cirebon?,"Sekitar Rp60.000-Rp100.000 bro, tergantung kelas dan jadwal!"
2193,Apakah kereta Argo Parahyangan masih beroperasi?,"Sudah gak ada bro, sekarang diganti dengan kereta lain seperti Cirebon Ekspres!"
2194,Kereta dari Bandung ke Yogyakarta ada?,"Ada bro, bisa naik Turangga atau kereta lain. Sekitar 6-7 jam!"
2195,Berapa stasiun yang dilewati kereta Jakarta-Surabaya?,"Banyak bro, sekitar 15-20 stasiun tergantung jenis kereta. Ada yang skip beberapa!"
2196,Kereta Gajayana berangkat jam berapa dari Jakarta?,"Ada beberapa jadwal bro, cek KAI Access untuk jadwal terbaru!"
2197,Apakah bisa pesan makanan di kereta eksekutif?,"Bisa bro, ada layanan catering atau beli dari crew. Harga lumayan!"
2198,Kereta mana yang ada sleeper seat Jakarta-Surabaya?,"Argo Bromo Anggrek punya sleeper bro, kursi bisa jadi semi-tidur!"
2199,Harga tiket sleeper class berapa?,"Sekitar Rp500.000-Rp700.000 bro, lebih mahal dari eksekutif biasa!"
2200,Apakah kereta bisnis masih ada?,"Masih ada bro, kelasnya di antara ekonomi dan eksekutif!"
2201,Kereta ekonomi Jakarta-Solo ada AC gak?,"Ada yang AC ada yang gak bro, pilih ekonomi AC buat yang nyaman!"
2202,Berapa beda harga ekonomi AC dan non-AC?,"Beda sekitar Rp30.000-Rp50.000 bro, AC lebih mahal dikit!"
2203,Apakah kereta premium punya colokan listrik?,"Ada bro, di kereta eksekutif dan premium ada colokan per kursi!"
2204,Kereta mana yang paling mewah di Jawa?,"Argo Parahyangan dulu bro, sekarang Argo Bromo Anggrek atau Gajayana termasuk mewah!"
2205,Apakah ada kereta sleeper seperti di luar negeri?,"Belum ada yang full sleeper bro, cuma reclining seat maksimal!"
2206,Beli tiket kereta H-berapa bisa?,"H-90 hari bro, bisa jauh-jauh hari. Biar gak kehabisan!"
2207,Apakah bisa reschedule tiket kereta?,"Bisa bro, maksimal H-1 sebelum keberangkatan. Kena biaya admin!"
2208,Refund tiket kereta kena charge berapa?,"Tergantung kapan cancel bro, makin deket berangkat makin besar potongannya. Bisa 25-75%!"
2209,Beli tiket kereta di stasiun bisa?,"Bisa bro, tapi lebih baik online biar gak kehabisan kursi!"
2210,Apakah bisa beli tiket kereta pakai poin?,"Beberapa bank atau e-wallet bisa tukar poin bro, cek promo!"
2211,Tiket kereta untuk rombongan ada diskon?,"Ada untuk minimal 20 orang bro, contact customer service KAI!"
2212,Apakah bisa upgrade kelas di kereta?,"Gak bisa on-board bro, harus beli tiket baru atau reschedule sebelumnya!"
2213,Beli tiket kereta pakai KAI Points?,"Bisa bro, kumpulin poin dari perjalanan terus tukar tiket gratis!"
2214,Cara daftar member KAI gimana?,"Download KAI Access terus register bro, gratis dan dapat benefit!"
2215,Promo tiket kereta biasanya kapan?,"Awal bulan atau long weekend bro, pantau social media KAI!"
2216,Boleh bawa koper berapa di kereta?,"Maksimal 20kg bagasi gratis bro, lebih dari itu bayar excess!"
2217,Apakah ada penimbangan bagasi di kereta?,"Gak seketat pesawat bro, tapi kalau berlebihan bisa ditegur!"
2218,Bawa hewan peliharaan di kereta boleh?,"Boleh bro, tapi harus di kandang dan ada aturannya. Bayar tambahan!"
2219,Boleh bawa sepeda di kereta?,"Boleh bro, sepeda lipat gratis. Sepeda biasa bayar bagasi!"
2220,Apakah ada batasan ukuran koper kereta?,"Gak seketat pesawat bro, yang penting muat di rak bagasi!"
2221,Bawa makanan banyak di kereta boleh?,"Boleh bro, asal gak berbau menyengat atau mengganggu!"
2222,Apakah bisa kirim barang via kereta?,"Bisa bro, ada layanan cargo kereta. Ke kantor kargo stasiun!"
2223,Bawa barang elektronik besar di kereta?,"Boleh bro, tapi jaga sendiri dan pastikan aman!"
2224,Apakah ada loker bagasi di stasiun?,"Belum ada loker otomatis bro, tapi bisa titip di kantor stasiun!"
2225,Bawa power bank di kereta boleh?,"Boleh bro, gak ada larangan. Justru perlu!"
2226,Kereta ekonomi ada toilet?,"Ada bro, tapi kadang kurang bersih. Bawa tissue sendiri!"
2227,Toilet kereta eksekutif lebih bersih?,"Lebih bersih bro, dan biasanya ada wastafel lebih bagus!"
2228,Apakah ada tempat wudhu di kereta?,"Ada toilet dengan air bro, bisa buat wudhu!"
2229,Kereta punya AC atau kipas angin?,"Ekonomi AC dan eksekutif semua full AC bro!"
2230,Suhu AC kereta bisa diatur gak?,"Gak bisa individual bro, tapi crew bisa adjust kalau diminta banyak orang!"
2231,Apakah ada selimut di kereta eksekutif?,"Kereta premium kadang ada bro, tapi bawa cardigan lebih aman!"
2232,Bantal di kereta disediakan?,"Gak ada bro, bawa bantal leher sendiri kalau mau nyaman!"
2233,Kursi kereta eksekutif bisa recline berapa derajat?,"Sekitar 30-40 derajat bro, lumayan buat istirahat!"
2234,Apakah ada gerbong khusus wanita?,"Gak ada bro, semua campur. Tapi ada prioritas seat!"
2235,Kereta ada WiFi gratis?,"Kereta premium ada WiFi bro, tapi kadang lemot. Bawa kuota sendiri!"
2236,Apakah bisa nge-charge HP di kereta?,"Di eksekutif ada colokan bro, ekonomi jarang. Bawa power bank!"
2237,Kereta punya hiburan seperti TV?,"Gak ada bro, bawa Netflix download atau buku sendiri!"
2238,Boleh merokok di kereta?,"Dilarang keras bro, semua area bebas rokok!"
2239,Apakah kereta ada ruang merokok?,"Gak ada bro, sama sekali dilarang!"
2240,Kereta ada CCTV gak?,"Ada bro, di semua gerbong untuk keamanan!"
2241,Restoran di kereta jual apa aja?,"Nasi bungkus, mie instan, snack, minuman bro. Harga agak mahal!"
2242,Harga makanan di kereta mahal gak?,"Lumayan mahal bro, 1.5-2x harga normal. Bawa bekal lebih irit!"
2243,Apakah bisa pesan makanan sebelum naik kereta?,"Bisa bro, via app KAI ada layanan food delivery ke kursi!"
2244,Kereta jual kopi atau teh?,"Jual bro, ada gerobak keliling atau pesan ke crew!"
2245,Boleh bawa makanan dari luar?,"Boleh banget bro, gak ada larangan!"
2246,Apakah ada menu vegetarian di kereta?,"Terbatas bro, lebih baik bawa makanan sendiri kalau strict!"
2247,Air minum di kereta gratis?,"Kereta premium kadang gratis bro, ekonomi harus beli!"
2248,Dispenser air minum ada di kereta?,"Gak ada bro, beli air kemasan di crew atau bawa sendiri!"
2249,Snack gratis di kereta premium?,"Kadang ada welcome snack bro, tergantung kelas dan kereta!"
2250,Apakah bisa pesan nasi kotak untuk rombongan?,"Bisa bro, kontak customer service KAI sebelum keberangkatan!"
2251,Kalau kereta telat dapat kompensasi?,"Telat lebih dari 1 jam dapat voucher bro, lebih dari 3 jam refund partial!"
2252,Kereta paling sering telat yang mana?,"Ekonomi non-reserved kadang telat bro, eksekutif lebih on-time!"
2253,Kenapa kereta bisa telat?,"Gangguan sinyal, cuaca buruk, atau maintenance jalur bro!"
2254,Kalau kereta mogok di tengah jalan gimana?,"Crew akan informasi bro, kadang ada kereta pengganti!"
2255,Apakah kereta pernah kecelakaan?,"Sangat jarang bro, sistem keamanan KAI ketat!"
2256,Kereta ada asuransi penumpang?,"Otomatis tercover asuransi Jasa Raharja bro!"
2257,Kalau kehilangan barang di kereta lapor kemana?,"Ke conductor atau stasiun tujuan bro, ada lost and found!"
2258,Apakah ada petugas keamanan di kereta?,"Ada bro, plus CCTV di semua gerbong!"
2259,Kalau ada pencopet di kereta gimana?,"Lapor conductor atau petugas bro, jangan kejar sendiri!"
2260,Tombol darurat di kereta ada dimana?,"Di ujung gerbong atau dekat pintu bro, ada tanda merah!"
2261,Kereta dari Gambir ke mana aja?,"Ke Bandung, Yogya, Solo, Surabaya, dan kota besar Jawa bro!"
2262,Apakah Gambir dan Jakarta Kota beda?,"Beda bro, Gambir untuk kereta jarak jauh, Jakarta Kota untuk KRL dan beberapa kereta!"
2263,Dari Gambir ke Pasar Senen naik apa?,"Jalan kaki 20 menit atau ojek bro, lumayan deket!"
2264,Parkir di Gambir berapa per hari?,"Rp20.000-Rp30.000 bro, tapi sering penuh!"
2265,Stasiun Gambir ada hotel dekat?,"Banyak bro, dari budget sampai bintang 5!"
2266,Apakah Gambir punya ruang tunggu VIP?,"Ada executive lounge bro, bayar Rp50.000-Rp100.000!"
2267,Fasilitas apa saja di stasiun Gambir?,"Mushola, toilet, restoran, minimarket, ATM lengkap bro!"
2268,Dari Gambir ke Monas jalan kaki?,"Bisa bro, sekitar 15-20 menit jalan santai!"
2269,Apakah Gambir buka 24 jam?,"Iya bro, tapi ruang tunggu umum tutup tengah malam!"
2270,Taksi dari Gambir ke bandara berapa?,"Rp150.000-Rp200.000 bro, atau pakai online lebih murah!"
2271,Stasiun Pasar Senen untuk kereta kemana?,"Ke Surabaya, Semarang, dan kota Jawa Timur bro!"
2272,Apakah Pasar Senen ramai?,"Ramai banget bro, apalagi weekend atau lebaran!"
2273,Dari Pasar Senen ke Gambir naik apa?,"KRL atau ojek bro, sekitar 10 menit!"
2274,Parkir motor di Pasar Senen aman?,"Lumayan aman bro, ada petugas. Tapi tetap waspada!"
2275,Stasiun Pasar Senen ada minimarket?,"Ada Indomaret atau Circle K bro, buat beli bekal!"
2276,Terminal bus Senen dekat stasiun?,"Nyambung langsung bro, ada terowongan!"
2277,Apakah Pasar Senen punya lounge?,"Gak ada lounge khusus bro, ruang tunggu biasa aja!"
2278,Dari Pasar Senen ke mall terdekat?,"Mall Atrium Senen deket bro, jalan kaki!"
2279,Stasiun Pasar Senen ada money changer?,"Gak ada bro, cari di mall atau bank terdekat!"
2280,Apakah Pasar Senen punya area parkir luas?,"Lumayan luas bro, tapi sering penuh!"
2281,Cirebon dari Jakarta naik kereta berapa jam?,"Sekitar 3-4 jam bro, tergantung jenis kereta!"
2282,Kereta ke Cirebon berangkat dari Gambir atau Pasar Senen?,"Kebanyakan dari Gambir bro, ada juga dari Pasar Senen!"
2283,Harga tiket Jakarta-Cirebon kelas ekonomi?,"Rp60.000-Rp100.000 bro, murah meriah!"
2284,Apakah ada kereta eksekutif Jakarta-Cirebon?,"Ada bro, Cirebon Ekspres atau Argo Jati!"
2285,Kereta Cirebon Ekspres berhenti dimana aja?,"Berhenti di beberapa stasiun besar bro, gak semua!"
2286,Dari stasiun Cirebon ke Keraton jalan kaki?,"Lumayan jauh bro, mending naik ojek atau angkot!"
2287,Apakah stasiun Cirebon punya tempat parkir?,"Ada bro, cukup luas untuk motor dan mobil!"
2288,Hotel dekat stasiun Cirebon ada?,"Banyak bro, dari budget sampai hotel bagus!"
2289,Oleh-oleh Cirebon dijual di stasiun?,"Ada beberapa pedagang bro, tapi lebih lengkap di pasar!"
2290,Kereta terakhir Cirebon-Jakarta jam berapa?,"Sekitar jam 7-8 malam bro, cek jadwal pasti di KAI Access!"
2291,Berapa lama Jakarta-Bandung naik kereta?,"Sekitar 3-4 jam bro, tergantung kereta!"
2292,Kereta apa yang paling cepat ke Bandung?,"Argo Parahyangan dulunya bro, sekarang ada beberapa kereta eksekutif cepat!"
2293,Harga tiket kereta Jakarta-Bandung eksekutif?,"Rp150.000-Rp250.000 bro, tergantung waktu dan kereta!"
2294,Apakah ada kereta ekonomi ke Bandung?,"Ada bro, lokal atau ekonomi AC. Lebih lama tapi murah!"
2295,Kereta berangkat dari stasiun mana ke Bandung?,"Dari Gambir atau Jakarta Kota bro, cek jadwal kereta yang mana!"
2296,Stasiun Bandung yang mana untuk dari Jakarta?,"Stasiun Bandung atau Kiaracondong bro, tergantung kereta!"
2297,Dari stasiun Bandung ke Dago naik apa?,"Angkot atau ojek online bro, sekitar 20 menit!"
2298,Apakah stasiun Bandung dekat factory outlet?,"Lumayan deket ke beberapa FO bro, naik angkot atau ojek!"
2299,Parkir di stasiun Bandung berapa?,"Rp10.000-Rp20.000 per hari bro, cukup murah!"
2300,Kereta terakhir Bandung-Jakarta jam berapa?,"Sekitar jam 8-9 malam bro, cek KAI Access untuk jadwal pasti!"
2301,Kereta Jakarta-Yogyakarta berapa jam?,"Sekitar 7-8 jam bro, lumayan jauh!"
2302,Kereta mana yang paling nyaman ke Yogya?,"Taksaka atau Argo Dwipangga bro, eksekutif dan comfortable!"
2303,Harga tiket eksekutif Jakarta-Yogya?,"Rp350.000-Rp500.000 bro, tergantung kereta dan waktu!"
2304,Apakah ada kereta malam ke Yogyakarta?,"Ada bro, berangkat malam sampai pagi. Bisa tidur di kereta!"
2305,Kereta ekonomi ke Yogya ada gak?,"Ada bro, tapi lama dan kurang nyaman. Mending bisnis atau eksekutif!"
2306,Stasiun mana yang di Yogyakarta?,"Stasiun Tugu atau Lempuyangan bro, tergantung kereta!"
2307,Dari stasiun Tugu ke Malioboro jalan kaki?,"Deket banget bro, cuma 5-10 menit!"
2308,Apakah stasiun Yogyakarta punya loker bagasi?,"Belum ada loker otomatis bro, tapi bisa titip di kantor!"
2309,Taksi dari stasiun Tugu ke Prambanan berapa?,"Rp100.000-Rp150.000 bro, atau naik bus Trans Jogja lebih murah!"
2310,Kereta terakhir Yogya-Jakarta jam berapa?,"Sekitar jam 7-8 malam bro, cek jadwal pasti!"
2311,Berapa lama perjalanan Jakarta-Solo naik kereta?,"Sekitar 8-9 jam bro, lumayan lama!"
2312,Kereta apa yang bagus ke Solo?,"Argo Lawu bro, eksekutif dan nyaman!"
2313,Harga tiket Jakarta-Solo eksekutif?,"Rp300.000-Rp450.000 bro, cek promo untuk harga lebih murah!"
2314,Apakah Solo punya lebih dari satu stasiun?,"Ada beberapa bro, tapi yang utama Stasiun Balapan Solo!"
2315,Dari stasiun Solo ke Keraton Kasunanan jalan kaki?,"Lumayan jauh bro, mending naik angkot atau ojek!"
2316,Apakah stasiun Solo ramai?,"Lumayan ramai bro, terutama weekend!"
2317,Parkir di stasiun Solo berapa?,"Rp5.000-Rp10.000 bro, murah!"
2318,Hotel murah dekat stasiun Solo?,"Banyak bro, mulai dari Rp100.000-an ada!"
2319,Oleh-oleh Solo dijual di stasiun?,"Ada beberapa bro, tapi lebih lengkap di pasar!"
2320,Kereta Solo-Surabaya ada?,"Ada bro, beberapa kereta transit atau langsung!"
2321,Jakarta-Semarang naik kereta berapa jam?,"Sekitar 5-6 jam bro, sedang-sedang aja!"
2322,Kereta apa yang bagus ke Semarang?,"Argo Muria atau Tawang Jaya bro, eksekutif!"
2323,Harga tiket Jakarta-Semarang?,"Rp200.000-Rp400.000 bro, tergantung kelas!"
2324,Stasiun Semarang yang mana?,"Stasiun Tawang atau Poncol bro, Tawang yang utama!"
2325,Dari stasiun Tawang ke Simpang Lima naik apa?,"Ojek online atau angkot bro, sekitar 15-20 menit!"
2326,Apakah stasiun Tawang Semarang bersejarah?,"Iya bro, bangunan tua peninggalan Belanda. Instagramable!"
2327,Parkir di stasiun Tawang aman?,"Aman bro, ada petugas jaga!"
2328,Kereta Semarang-Surabaya berapa jam?,"Sekitar 4-5 jam bro, lumayan cepet!"
2329,Apakah Semarang ada kereta ke Bandung langsung?,"Ada bro, tapi jarang. Biasanya transit Jakarta!"
2330,Oleh-oleh Semarang di stasiun lengkap?,"Ada lumpia dan wingko bro, tapi lebih lengkap di toko kota!"
2331,Jakarta-Surabaya kereta paling cepat berapa jam?,"Sekitar 8-9 jam bro, kalau Argo Bromo Anggrek!"
2332,Kereta apa saja yang ke Surabaya?,"Argo Bromo Anggrek, Gajayana, Bima, Bengawan bro!"
2333,Harga tiket Jakarta-Surabaya eksekutif?,"Rp400.000-Rp600.000 bro, sleeper bisa lebih mahal!"
2334,Apakah ada kereta ekonomi Jakarta-Surabaya?,"Ada bro, tapi lama banget 12+ jam. Kurang nyaman!"
